round,client_max_accuracy,client_avg_accuracy,global_accuracy
0,0.277300,0.220630,0.328900
1,0.281500,0.218300,0.347100
2,0.292200,0.233760,0.355000
3,0.323900,0.242320,0.368900
4,0.307500,0.249120,0.381000
5,0.337900,0.258140,0.408300
6,0.340200,0.262330,0.424100
7,0.357900,0.273700,0.427800
8,0.368400,0.263010,0.427300
9,0.393800,0.284080,0.449000
10,0.383300,0.298800,0.460800
11,0.402100,0.289610,0.451500
12,0.406200,0.301830,0.467400
13,0.418100,0.321080,0.474300
14,0.418700,0.315240,0.470200
15,0.412500,0.308360,0.469000
16,0.425300,0.320450,0.481500
17,0.413600,0.321520,0.476300
18,0.442400,0.337430,0.477500
19,0.435800,0.347760,0.478000
20,0.447800,0.353830,0.474400
21,0.442400,0.346450,0.475600
22,0.444300,0.344640,0.465200
23,0.434500,0.354930,0.483600
24,0.448900,0.360050,0.484200
25,0.441700,0.351480,0.492500
26,0.465100,0.357570,0.488700
27,0.465100,0.368210,0.494400
28,0.472000,0.369920,0.488500
29,0.470900,0.343140,0.471300
30,0.473400,0.374940,0.486200
31,0.473400,0.354460,0.465100
32,0.475900,0.376260,0.483100
33,0.475600,0.383370,0.474200
34,0.482300,0.388240,0.468800
35,0.477300,0.366660,0.455400
36,0.476500,0.389490,0.456400
37,0.472800,0.382150,0.460600
38,0.454700,0.377640,0.466800
39,0.465700,0.372460,0.468500
40,0.495100,0.399000,0.483500
41,0.474500,0.380110,0.475600
42,0.500500,0.387120,0.465200
43,0.488600,0.389640,0.455200
44,0.457300,0.397600,0.457000
45,0.502400,0.399140,0.461700
46,0.481400,0.374950,0.463700
47,0.484700,0.378000,0.467500
48,0.490300,0.393010,0.452100
49,0.484400,0.398080,0.466600
50,0.504500,0.410070,0.462000
51,0.476900,0.397120,0.461300
52,0.509700,0.411610,0.456000
53,0.521600,0.380250,0.451200
54,0.485600,0.383070,0.453100
55,0.523400,0.414020,0.454900
56,0.523600,0.413850,0.455900
57,0.506800,0.410240,0.456900
58,0.517400,0.385600,0.456400
59,0.504800,0.409070,0.459900
60,0.519000,0.416550,0.468000
