round,client_max_accuracy,client_avg_accuracy,global_accuracy
0,0.300100,0.221870,0.329500
1,0.308800,0.235130,0.341700
2,0.328700,0.247690,0.386800
3,0.317300,0.236950,0.381400
4,0.321400,0.252290,0.390100
5,0.336300,0.262680,0.418300
6,0.356800,0.270450,0.424200
7,0.384000,0.273800,0.436900
8,0.390900,0.296280,0.450700
9,0.388200,0.287230,0.458600
10,0.392800,0.299390,0.461500
11,0.406900,0.310420,0.465200
12,0.403500,0.311860,0.461800
13,0.409700,0.313020,0.469000
14,0.414500,0.317340,0.459600
15,0.425300,0.327330,0.468400
16,0.429000,0.346610,0.477700
17,0.422300,0.339310,0.472400
18,0.439600,0.344440,0.460800
19,0.435800,0.355050,0.457200
20,0.433400,0.344180,0.459800
21,0.450100,0.363850,0.466700
22,0.456500,0.357730,0.464200
23,0.457900,0.369820,0.474300
24,0.454600,0.369330,0.467500
25,0.458800,0.369900,0.464900
26,0.462200,0.383380,0.465300
27,0.464200,0.374090,0.466300
28,0.459000,0.372650,0.465600
29,0.452400,0.368230,0.454000
30,0.473800,0.371980,0.450200
31,0.467200,0.374680,0.451700
32,0.479600,0.387480,0.449300
33,0.472600,0.400990,0.448600
34,0.492800,0.386380,0.447800
35,0.481100,0.394140,0.452800
36,0.510700,0.399450,0.452700
37,0.487900,0.387460,0.454700
38,0.490000,0.367840,0.445700
39,0.489900,0.390700,0.458000
40,0.503200,0.384480,0.473600
41,0.472800,0.389040,0.481800
42,0.492900,0.393860,0.475100
43,0.515200,0.403890,0.474800
44,0.505200,0.385350,0.472600
45,0.496900,0.412310,0.466500
46,0.517400,0.405790,0.472800
47,0.489100,0.408890,0.468600
48,0.505100,0.421440,0.464300
49,0.516300,0.394750,0.488100
50,0.503000,0.396460,0.481000
51,0.503300,0.387060,0.467300
52,0.493800,0.403850,0.464100
53,0.492300,0.400430,0.461700
54,0.518000,0.404500,0.462100
55,0.513800,0.427720,0.460300
56,0.523000,0.430140,0.467900
57,0.524400,0.422890,0.470500
58,0.516200,0.419920,0.472800
59,0.536900,0.417980,0.464800
60,0.509600,0.415010,0.468900
