round,client_max_accuracy,client_avg_accuracy,global_accuracy
0,0.282300,0.221030,0.343600
1,0.299400,0.241640,0.361500
2,0.341600,0.250030,0.398200
3,0.319400,0.263980,0.423300
4,0.351900,0.270870,0.444200
5,0.330000,0.259700,0.442400
6,0.348400,0.276040,0.457400
7,0.390400,0.296680,0.471500
8,0.389800,0.295900,0.478600
9,0.410700,0.295770,0.481000
10,0.392300,0.293970,0.470900
11,0.413000,0.301590,0.487500
12,0.424200,0.310600,0.488600
13,0.404800,0.322880,0.483000
14,0.431600,0.330280,0.482600
15,0.420500,0.337070,0.492100
16,0.444200,0.345840,0.498300
17,0.454900,0.337340,0.493000
18,0.442600,0.334230,0.492200
19,0.438900,0.355350,0.495800
20,0.460300,0.356160,0.492500
21,0.465900,0.348590,0.496600
22,0.484400,0.373380,0.498100
23,0.471400,0.351590,0.498400
24,0.469100,0.374910,0.498500
25,0.476500,0.364390,0.495500
26,0.477500,0.381440,0.494100
27,0.494100,0.390460,0.497000
28,0.479000,0.379370,0.505400
29,0.506000,0.383640,0.497500
30,0.498800,0.379620,0.491400
31,0.475100,0.394370,0.494500
32,0.485100,0.381800,0.486000
33,0.482400,0.390630,0.503800
34,0.500000,0.381820,0.492800
35,0.506200,0.386910,0.490200
36,0.525600,0.396640,0.500000
37,0.493500,0.397170,0.496200
38,0.520500,0.394470,0.498600
39,0.520500,0.399700,0.494300
40,0.529400,0.414250,0.505200
41,0.531800,0.413240,0.497400
42,0.494100,0.394350,0.495300
43,0.508600,0.399700,0.483000
44,0.528800,0.408100,0.505700
45,0.496500,0.391100,0.500900
46,0.505200,0.409990,0.482100
47,0.533200,0.399690,0.500700
48,0.489200,0.400120,0.491100
49,0.528700,0.403830,0.496000
50,0.540800,0.412000,0.509800
51,0.499100,0.425800,0.501100
52,0.526500,0.421000,0.514200
53,0.542900,0.431700,0.510600
54,0.521100,0.434880,0.498200
55,0.521800,0.423950,0.498600
56,0.551100,0.423900,0.506700
57,0.539100,0.413770,0.498700
58,0.527400,0.414660,0.493600
59,0.541500,0.426210,0.499100
60,0.509000,0.426770,0.494700
