round,client_max_accuracy,client_avg_accuracy,global_accuracy
0,0.2747,0.22794,0.2957
1,0.2946,0.25011,0.3227
2,0.3091,0.23886,0.3194
3,0.3074,0.25337,0.3416
4,0.3426,0.26691,0.3562
5,0.3497,0.2599,0.3982
6,0.3501,0.26007,0.3914
7,0.3464,0.25327,0.3791
8,0.3589,0.26827,0.3819
9,0.3611,0.27159,0.377
10,0.3633,0.26432,0.3778
11,0.3621,0.26677,0.3772
12,0.3684,0.28314,0.3897
13,0.3768,0.2909,0.3826
14,0.3685,0.28911,0.3809
15,0.3702,0.27015,0.3849
16,0.369,0.28171,0.3863
17,0.3601,0.2941,0.386
18,0.3728,0.29559,0.3863
19,0.3764,0.29733,0.3785
20,0.3745,0.27441,0.3994
21,0.3682,0.2883,0.3922
22,0.3694,0.28379,0.3901
23,0.3763,0.29231,0.3868
24,0.3669,0.29288,0.3815
25,0.3745,0.28026,0.4014
26,0.3903,0.30226,0.4046
27,0.3826,0.30062,0.4086
28,0.3874,0.30194,0.4054
29,0.389,0.30264,0.399
30,0.3899,0.28551,0.4091
31,0.3785,0.29929,0.4083
32,0.3992,0.30627,0.4044
33,0.3856,0.30965,0.3987
34,0.3925,0.30309,0.3941
35,0.4024,0.30983,0.4204
36,0.4034,0.30956,0.4275
37,0.4063,0.30991,0.4269
38,0.4184,0.32006,0.4225
39,0.4188,0.32533,0.4168
40,0.4094,0.3191,0.4396
41,0.4208,0.31909,0.4327
42,0.4271,0.33558,0.4314
43,0.4246,0.33837,0.4297
44,0.423,0.34292,0.4218
45,0.4302,0.3092,0.4618
46,0.4352,0.32344,0.4636
47,0.4317,0.32566,0.4568
48,0.4425,0.3298,0.4537
49,0.4457,0.32063,0.4543
50,0.4332,0.33375,0.4489
51,0.4405,0.337,0.4442
52,0.4395,0.34614,0.4385
53,0.4402,0.35427,0.4317
54,0.4392,0.34724,0.4252
55,0.4265,0.34363,0.4428
56,0.4281,0.34104,0.4385
57,0.4375,0.35662,0.4342
58,0.4429,0.35053,0.428
59,0.4409,0.35037,0.4289
60,0.4352,0.35043,0.4465
61,0.4421,0.36105,0.4402
62,0.4438,0.36486,0.4345
63,0.436,0.3614,0.4314
64,0.4451,0.37247,0.4307
65,,,
