round,client_max_accuracy,client_avg_accuracy,global_accuracy
0,0.264200,0.220420,0.265700
1,0.274700,0.227940,0.295700
2,0.294600,0.250110,0.322700
3,0.309100,0.238860,0.319400
4,0.307400,0.253370,0.341600
5,0.342600,0.266910,0.356200
6,0.344100,0.263290,0.359100
7,0.358600,0.266040,0.358000
8,0.359000,0.275140,0.358700
9,0.352300,0.277000,0.354400
10,0.355200,0.272930,0.351000
11,0.344700,0.268480,0.383600
12,0.348900,0.259870,0.387600
13,0.360900,0.277500,0.387900
14,0.356600,0.277590,0.388000
15,0.362200,0.285660,0.384600
16,0.364600,0.301470,0.377900
17,0.363000,0.295770,0.374400
18,0.363300,0.289520,0.367500
19,0.364500,0.299070,0.361500
20,0.370200,0.303250,0.360100
21,0.346200,0.274900,0.375300
22,0.353000,0.282510,0.383600
23,0.362700,0.287930,0.386400
24,0.376300,0.293470,0.385600
25,0.379400,0.295270,0.380800
26,0.376200,0.306120,0.380300
27,0.386900,0.303030,0.376000
28,0.385800,0.305730,0.378800
29,0.383400,0.302910,0.375600
30,0.384500,0.316700,0.373800
31,0.375600,0.292160,0.398800
32,0.388500,0.305990,0.406000
33,0.387800,0.310450,0.405400
34,0.400200,0.322500,0.402900
35,0.403100,0.318000,0.391100
36,0.397900,0.315080,0.390600
37,0.397500,0.316570,0.382000
38,0.387000,0.320140,0.387700
39,0.399500,0.324460,0.385500
40,0.402200,0.322830,0.385900
41,0.386500,0.286720,0.405900
42,0.385800,0.285710,0.410400
43,0.386900,0.298640,0.408500
44,0.406300,0.293390,0.410000
45,0.415000,0.302640,0.410900
46,0.403200,0.314970,0.411600
47,0.403800,0.304470,0.406800
48,0.401300,0.307360,0.405700
49,0.408200,0.317050,0.406600
50,0.404000,0.316860,0.402200
51,0.403700,0.318610,0.436700
52,0.396600,0.320970,0.436600
53,0.407300,0.327950,0.433800
54,0.422400,0.323850,0.439500
55,0.414700,0.320630,0.434700
56,0.426000,0.340240,0.431700
57,0.421000,0.346850,0.431000
58,0.424600,0.333780,0.416100
59,0.416700,0.348010,0.425300
60,0.427300,0.331860,0.418300
61,0.418200,0.349070,0.425300
62,0.425300,0.356110,0.420300
63,0.431700,0.354120,0.417000
64,0.433000,0.364020,0.416300
65,0.437300,0.359420,0.412200
