round,client_max_accuracy,client_avg_accuracy,global_accuracy
0,0.2687,0.21332,0.3177
1,0.3346,0.22872,0.3162
2,0.3144,0.25172,0.3233
3,0.3322,0.2453,0.345
4,0.3248,0.26343,0.3499
5,0.3141,0.26414,0.3347
6,0.3365,0.27009,0.3441
7,0.3488,0.27953,0.3509
8,0.3542,0.28085,0.3536
9,0.3538,0.29664,0.3521
10,0.3491,0.28992,0.3528
11,0.3586,0.27922,0.3428
12,0.3579,0.2976,0.3471
13,0.3618,0.29405,0.3463
14,0.3597,0.29595,0.3453
15,0.3426,0.29156,0.3431
16,0.3482,0.28726,0.337
17,0.3576,0.2899,0.3328
18,0.3419,0.28382,0.3351
19,0.3484,0.30248,0.3461
20,0.3437,0.30187,0.3478
21,0.3423,0.29744,0.3477
22,0.3574,0.31209,0.3437
23,0.3786,0.31964,0.3535
24,0.3516,0.31785,0.3474
25,0.3611,0.31204,0.3413
26,0.3619,0.31298,0.3426
27,0.3692,0.3245,0.3443
28,0.3706,0.3231,0.3412
29,0.3733,0.31939,0.3433
30,0.3752,0.32087,0.3426
31,0.3564,0.31073,0.3413
32,0.3686,0.32658,0.3423
33,0.3696,0.32964,0.3428
34,0.3715,0.3063,0.3424
35,0.362,0.30939,0.3373
36,0.373,0.32318,0.3417
37,0.3722,0.32145,0.339
38,0.3803,0.33204,0.3417
39,0.3724,0.32753,0.34
40,0.3718,0.32841,0.338
41,0.3578,0.32702,0.3369
42,0.359,0.32057,0.339
43,0.364,0.32759,0.3421
44,0.3662,0.30889,0.3393
45,0.369,0.31813,0.3365
46,0.3584,0.32106,0.3403
47,0.3725,0.32158,0.3377
48,0.3716,0.32275,0.3399
49,0.3648,0.31475,0.3373
50,0.3712,0.33517,0.3333
51,0.3754,0.30947,0.3326
52,0.3658,0.3216,0.3327
53,0.3566,0.32201,0.3349
54,0.3803,0.33585,0.3344
55,0.3743,0.3314,0.3374
56,0.3725,0.32547,0.3366
57,0.3772,0.33455,0.3402
58,0.3746,0.33675,0.3362
59,0.3737,0.33934,0.3395
60,0.3743,0.33442,0.338
61,0.3733,0.32447,0.3359
62,0.3744,0.33377,0.3376
63,0.3712,0.3321,0.3476
64,0.3624,0.31338,0.3547
65,0.3748,0.32321,0.3555
66,0.3671,0.31455,0.3607
67,0.3617,0.31951,0.364
68,0.3705,0.32365,0.3568
69,0.378,0.32434,0.3562
70,0.3721,0.32703,0.3533
71,0.3845,0.33327,0.3564
72,0.3869,0.33436,0.358
73,0.3773,0.33078,0.3583
74,0.3717,0.32691,0.3581
75,0.3923,0.34519,0.3595
76,0.3822,0.31461,0.3536
77,0.3877,0.34122,0.3501
78,0.3916,0.34558,0.3579
79,0.3923,0.34621,0.3558
80,0.3982,0.33348,0.3517
81,0.3884,0.34122,0.3572
82,0.3947,0.33593,0.355
83,0.4032,0.34892,0.3502
84,0.3889,0.34023,0.3516
85,0.387,0.34666,0.3513
86,0.3931,0.34758,0.3514
87,0.3739,0.34502,0.3532
88,0.3865,0.34513,0.3566
89,0.3979,0.33347,0.3522
90,0.3919,0.34563,0.3538
91,0.3989,0.33627,0.3548
92,0.3986,0.34858,0.3557
93,0.3799,0.33268,0.3488
94,0.4002,0.33784,0.3499
95,0.3969,0.34669,0.3488
96,0.4042,0.34245,0.3513
97,0.3994,0.34928,0.3502
98,0.4011,0.34371,0.3544
99,0.4041,0.34855,0.353
